ProductId,DescriptionProduct
SP0001,"Vải dệt kỹ thuật cao, Mẫu Giày tennis của Asics tông xanh, form ôm chân, đế cao su êm và chống trượt, luyện tập cường độ cao, kích cỡ 42."
SP0002,"Knit, Puma phiên bản Giày tennis đỏ với độ bền chống trượt, hỗ trợ nhẹ nhàng, đi bộ hằng ngày, size 44."
SP0003,"Cao su, Reebok Giày chạy bộ màu đỏ, thiết kế hỗ trợ cổ chân, mang lại cảm giác thoáng khí, đi học, size 37."
SP0004,"Vải dệt kỹ thuật cao, Converse phiên bản Giày đá bóng xám với độ bền thoải mái, hỗ trợ nhẹ nhàng, luyện tập cường độ cao, size 37."
SP0005,"Knit, Adidas Giày đá bóng màu vàng, thiết kế đế cao su êm, mang lại cảm giác ôm chân tốt, leo núi cuối tuần, size 38."
SP0006,"Cao su, Adidas ra mắt Giày training màu đen, nổi bật với khả năng đế cao su êm, cùng trải nghiệm độ bám tốt, đi chơi, size 38."
SP0007,"Knit, Reebok phiên bản Giày tennis cam với độ bền độ bám tốt, hỗ trợ giảm chấn, luyện tập cường độ cao, size 45."
SP0008,"Da tự nhiên, Vans Giày cầu lông màu trắng, thiết kế chống trượt, mang lại cảm giác thoải mái, đi học, size 44."
SP0009,"Vải tổng hợp, Vans Giày leo núi màu xám, thiết kế thoáng khí, mang lại cảm giác nhẹ nhàng, tập gym buổi sáng, size 38."
SP0010,"Knit, Asics Giày chạy bộ màu nâu, thiết kế chống trượt, mang lại cảm giác giảm chấn, leo núi cuối tuần, size 41."
SP0011,"Vải tổng hợp, Giày sneaker Reebok sắc nâu, thiết kế chuyên dụng, đế cao su êm, kháng nước, phù hợp luyện tập cường độ cao, size 42."
SP0012,"Da tổng hợp, Nike phiên bản Giày cầu lông xanh với độ bền bền bỉ, hỗ trợ đế cao su êm, đi chơi, size 39."
SP0013,"Vải dệt kỹ thuật cao, Asics phiên bản Giày đá bóng xanh navy với độ bền hỗ trợ cổ chân, hỗ trợ chống trượt, đi học, size 45."
SP0014,"Cao su, Giày tập gym Mizuno sắc be, thiết kế chuyên dụng, thoải mái, đế cao su êm, phù hợp thi đấu, size 43."
SP0015,"Lưới thoáng khí, Mẫu Giày tập gym của Nike tông xanh navy, form ôm chân, đệm êm và thoải mái, đi học, kích cỡ 38."
SP0016,"Vải dệt kỹ thuật cao, Adidas ra mắt Giày tập gym màu vàng, nổi bật với khả năng ôm chân tốt, cùng trải nghiệm bền bỉ, thi đấu, size 45."
SP0017,"Lưới thoáng khí, Giày đá bóng Asics sắc xám, thiết kế chuyên dụng, đệm êm, nhẹ nhàng, phù hợp chạy bộ đường dài, size 36."
SP0018,"Vải tổng hợp, Puma Giày sneaker màu xanh, thiết kế đế cao su êm, mang lại cảm giác thoáng khí, phù hợp cho người mới, size 36."
SP0019,"Mesh, New Balance Giày tập gym màu đỏ, thiết kế thoải mái, mang lại cảm giác giảm chấn, thi đấu, size 37."
SP0020,"Vải dệt kỹ thuật cao, Converse Giày training màu vàng, thiết kế giảm chấn, mang lại cảm giác thoáng khí, phù hợp cho người mới, size 38."
SP0021,"Canvas, Giày chạy bộ Adidas sắc nâu, thiết kế chuyên dụng, thoáng khí, giảm chấn, phù hợp dùng hàng ngày, size 41."
SP0022,"Vải dệt kỹ thuật cao, Adidas phiên bản Giày training đỏ với độ bền đệm êm, hỗ trợ giảm chấn, tập gym buổi sáng, size 45."
SP0023,"Vải dệt kỹ thuật cao, Nike ra mắt Giày đá bóng màu vàng, nổi bật với khả năng ôm chân tốt, cùng trải nghiệm đế cao su êm, dùng hàng ngày, size 37."
SP0024,"Canvas, Reebok Giày cầu lông màu trắng, thiết kế hỗ trợ cổ chân, mang lại cảm giác đệm êm, luyện tập cường độ cao, size 45."
SP0025,"Cao su, Adidas phiên bản Giày sneaker trắng với độ bền chống trượt, hỗ trợ nhẹ nhàng, leo núi cuối tuần, size 43."
SP0026,"Da tự nhiên, Mẫu Giày leo núi của Asics tông nâu, form ôm chân, kháng nước và hỗ trợ cổ chân, chạy bộ đường dài, kích cỡ 40."
SP0027,"Lưới thoáng khí, Under Armour ra mắt Giày training màu nâu, nổi bật với khả năng chống trượt, cùng trải nghiệm thoải mái, đi chơi, size 40."
SP0028,"Vải tổng hợp, Puma ra mắt Giày leo núi màu cam, nổi bật với khả năng hỗ trợ cổ chân, cùng trải nghiệm ôm chân tốt, phù hợp cho người mới, size 44."
SP0029,"Vải dệt kỹ thuật cao, Asics phiên bản Giày tập gym xanh navy với độ bền bền bỉ, hỗ trợ thoải mái, leo núi cuối tuần, size 39."
SP0030,"Vải tổng hợp, Giày cầu lông Under Armour sắc xanh, thiết kế chuyên dụng, độ bám tốt, nhẹ nhàng, phù hợp leo núi cuối tuần, size 43."
SP0031,"Canvas, Reebok ra mắt Giày đá bóng màu xanh, nổi bật với khả năng nhẹ nhàng, cùng trải nghiệm ôm chân tốt, dùng hàng ngày, size 36."
SP0032,"Da tổng hợp, Vans phiên bản Giày cầu lông cam với độ bền thoáng khí, hỗ trợ độ bám tốt, tập gym buổi sáng, size 39."
SP0033,"Canvas, Giày chạy bộ Puma sắc vàng, thiết kế chuyên dụng, kháng nước, thoáng khí, phù hợp đi bộ hằng ngày, size 42."
SP0034,"Canvas, Puma ra mắt Giày sneaker màu cam, nổi bật với khả năng kháng nước, cùng trải nghiệm bền bỉ, phù hợp cho người mới, size 44."
SP0035,"Knit, Mizuno Giày đá bóng màu vàng, thiết kế kháng nước, mang lại cảm giác độ bám tốt, đi bộ hằng ngày, size 42."
SP0036,"Lưới thoáng khí, Puma phiên bản Giày training vàng với độ bền giảm chấn, hỗ trợ độ bám tốt, luyện tập cường độ cao, size 39."
SP0037,"Da tự nhiên, Under Armour Giày tennis màu cam, thiết kế đế cao su êm, mang lại cảm giác thoải mái, leo núi cuối tuần, size 38."
SP0038,"Vải dệt kỹ thuật cao, Giày leo núi New Balance sắc trắng, thiết kế chuyên dụng, nhẹ nhàng, độ bám tốt, phù hợp đi chơi, size 44."
SP0039,"Canvas, Mẫu Giày leo núi của Puma tông xám, form ôm chân, chống trượt và thoáng khí, phù hợp cho người mới, kích cỡ 39."
SP0040,"Lưới thoáng khí, Vans ra mắt Giày sneaker màu đen, nổi bật với khả năng độ bám tốt, cùng trải nghiệm thoải mái, đi học, size 40."
